name	group	af3_id1	af3_id2	pair_tokens	pair_iptm_mean	string_experimental	string_combined_score	pair_iptm_mean_corrected
pairs_000366f	pairs	aac71319.1	aac71429.1	441	0.11800000000000002	0	0	0.06287316167466395
pairs_0046771	pairs	aac71390.1	aac71413.1	1054	0.146	0	722	0.041085713361798115
pairs_0061302	pairs	aac71406.1	aac71579.1	722	0.284	0	0	0.20338289913325633
pairs_0076b25	pairs	aac71377.1	aac71393.1	237	0.098	999	999	0.06721328185515228
pairs_007a3ac	pairs	aac71301.1	aac71619.1	636	0.10400000000000001	0	0	0.030552311370146065
pairs_0092129	pairs	aac71371.1	aac71612.1	342	0.306	156	172	0.2617585605495418
pairs_0092162	pairs	aac71352.1	aac71537.1	577	0.264	0	0	0.19575547040107483
pairs_009874f	pairs	aac71299.1	aac71646.1	972	0.122	0	0	0.022680712927664104
pairs_00a6115	pairs	aac71570.2	aac72485.1	1023	0.238	0	0	0.1351743961191948
pairs_00b1df7	pairs	aac71487.1	aac71644.1	424	0.13999999999999999	0	0	0.08664808166395972
pairs_00c6199	pairs	aac71377.1	aac71462.1	820	0.19599999999999998	0	0	0.10771598794322457
pairs_00e4120	pairs	aac71319.1	aac71591.1	446	0.086	0	0	0.030357663821338282
pairs_00f1d21	pairs	aac71429.1	aac72473.1	511	0.132	0	0	0.06990223346704642
pairs_00f5def	pairs	aac71264.1	aac71443.1	755	0.132	0	161	0.048746156517338754
pairs_00f9dad	pairs	aac71444.1	aac71515.1	885	0.154	0	0	0.06088153821153516
pairs_011a1e6	pairs	aac71319.1	aac71338.1	742	0.132	0	185	0.04977785665341321
pairs_013307e	pairs	aac71413.1	aac71613.1	2422	0.26	0	391	0.08235687695980476
pairs_014a33a	pairs	aac71413.1	aac71437.1	2611	0.19	0	456	0.004175208545461551
pairs_014a5c7	pairs	aac71351.1	aac71591.1	324	0.244	0	0	0.20190042507251343
pairs_015c367	pairs	aac71311.1	aac71466.1	431	0.4	0	0	0.3459130000449143
pairs_015e756	pairs	aac71228.1	aac71576.1	471	0.16	0	0	0.10182246138800499
pairs_01632be	pairs	aac71406.1	aac71431.1	853	0.198	0	0	0.10723854286268467
pairs_018e5aa	pairs	aac71383.1	aac71646.1	976	0.124	0	0	0.024402432484937425
pairs_0197d04	pairs	aac71369.1	aac72461.1	393	0.066	0	0	0.01597886058462758
pairs_01a0581	pairs	aac71338.1	aac71508.1	716	0.154	0	0	0.07386873513510893
pairs_01acec5	pairs	aac71287.1	aac71579.1	1045	0.186	0	0	0.0816889034964092
pairs_01b06f0	pairs	aac71279.1	aac71523.1	1017	0.11000000000000001	0	653	0.007582295999569111
pairs_01b3c2c	pairs	aac71299.1	aac71389.1	351	0.554	0	402	0.5087087716154317
pairs_01b6623	pairs	aac71515.1	abc59632.1	551	0.3	0	163	0.23413266419285428
pairs_01cca4b	pairs	aac71393.1	aac71518.1	175	0.14200000000000002	0	0	0.12061917343553706
pairs_01d5700	pairs	aac71308.1	aac72455.1	451	0.24200000000000005	0	229	0.18584504752177394
pairs_01e0272	pairs	aac71358.1	aac71406.1	1698	0.17	0	187	0.027126745629511034
pairs_01e071d	pairs	aac71369.1	aac72482.1	741	0.132	999	999	0.04985759117464518
pairs_01ea412	pairs	aac71287.1	aac71406.1	1493	0.254	640	835	0.1222756399796385
pairs_01ebe72	pairs	aac71335.1	aac71357.1	783	0.14200000000000002	0	0	0.056553781723438334
pairs_01f19de	pairs	aac71223.1	aac71612.1	490	0.172	0	0	0.1119404160885968
pairs_01f3910	pairs	aac71283.1	aac71360.1	1085	0.14400000000000002	0	0	0.037027527235001884
pairs_0210663	pairs	aac71437.1	aac71462.1	2425	0.27999999999999997	0	0	0.10222456420633869
pairs_0212aaa	pairs	aac71228.1	aac71429.1	506	0.13999999999999999	0	0	0.0783836575166636
pairs_0215610	pairs	aac71285.1	aac71573.1	838	0.46799999999999997	0	0	0.3783586012657998
pairs_022aa72	pairs	aac71231.1	aac71326.1	849	0.13	0	0	0.03953625562680799
pairs_022cec1	pairs	aac71430.1	aac71471.1	593	0.23199999999999998	0	0	0.16231914068242292
pairs_022da67	pairs	aac71431.1	abc59634.1	932	0.144	0	0	0.04749564179364835
pairs_023f1af	pairs	aac71289.1	aac71579.1	1011	0.146	0	0	0.04399140090962253
pairs_0270315	pairs	aac71429.1	aac71636.1	376	0.198	0	0	0.1498613356315944
pairs_0276a10	pairs	aac71308.1	aac71621.1	318	0.046000000000000006	0	184	0.004627543949723471
pairs_0279dba	pairs	aac71285.1	aac71472.1	758	0.16799999999999998	0	0	0.08450933620704736
pairs_02bce4f	pairs	aac71231.1	aac72491.1	858	0.21399999999999997	0	0	0.12286738180399134
pairs_02e2a78	pairs	aac71431.1	aac71466.1	549	0.67	0	0	0.6043178257286057
pairs_02eccc9	pairs	aac71352.1	aac71646.1	1115	0.23399999999999999	0	0	0.12506354773037168
pairs_02fd439	pairs	aac71342.1	aac71430.1	249	0.09	0	0	0.057541755774157224
pairs_030e025	pairs	aac71383.1	aac71413.1	947	0.14800000000000002	441	820	0.05043309449786593
pairs_0320de9	pairs	aac71386.1	aac71591.1	435	0.08	0	0	0.02549563204784737
pairs_03371b8	pairs	aac71311.1	aac72461.1	286	0.07	0	0	0.03262700055202733
pairs_0343e85	pairs	aac71503.1	aac71515.1	1030	0.18200000000000002	0	0	0.07870002183477204
pairs_034df12	pairs	aac71279.1	aac71371.1	786	0.098	0	0	0.012321226058556872
pairs_035134f	pairs	aac71393.1	aac72491.1	306	0.746	0	0	0.706102659265271
pairs_03692a2	pairs	aac71243.1	aac71289.1	1025	0.19	0	0	0.08703869544262377
pairs_037553c	pairs	aac71335.1	aac71377.1	414	0.11399999999999999	0	0	0.0617088063183054
pairs_038414d	pairs	aac71335.1	aac71474.1	873	0.14200000000000002	0	0	0.04976034070764748
pairs_03885a6	pairs	aac71338.1	aac71358.1	1633	0.154	0	0	0.014585053526736558
pairs_039ceb0	pairs	aac71393.1	aac71574.1	441	0.27599999999999997	0	0	0.2208731616746639
pairs_03ad2a9	pairs	aac71338.1	aac71413.1	1326	0.17200000000000001	0	0	0.04993785381317792
pairs_03d2b7e	pairs	aac71237.1	aac71342.1	614	0.148	0	0	0.0764630506594854
pairs_03d52f3	pairs	aac71287.1	aac71646.1	1743	0.154	0	0	0.008771173517227088
pairs_03e09e1	pairs	aac71380.1	aac71444.1	519	0.438	0	0	0.3751368279447127
pairs_03fd761	pairs	aac71228.1	aac71273.1	564	0.17	0	0	0.10293721743026849
pairs_0400d30	pairs	aac71591.1	abc59634.1	888	0.15000000000000002	0	0	0.05666277011705656
pairs_0407255	pairs	aac71301.1	aac71433.1	396	0.098	0	0	0.04765091598801609
pairs_040b61b	pairs	aac71433.1	aac71541.1	385	0.068	0	0	0.01885955018993085
pairs_041efce	pairs	aac71252.1	aac71279.1	1230	0.144	0	261	0.027769408738705342
pairs_042175d	pairs	aac71474.1	aac71646.1	1494	0.15	0	0	0.0182194577026647
pairs_0429cf6	pairs	aac71474.1	aac71595.1	987	0.126	0	0	0.02564008814235455
pairs_043441a	pairs	aac71443.1	aac71591.1	533	0.152	0	0	0.08781142868890592
pairs_0434fcc	pairs	aac71287.1	aac71335.1	1122	0.15000000000000002	0	0	0.040609101483361804
pairs_04357ea	pairs	aac71289.1	aac72485.1	1002	0.16600000000000004	0	0	0.0646073412501936
pairs_04378d4	pairs	aac71223.1	aac71341.1	725	0.16799999999999998	0	0	0.08714073815399272
pairs_0442d6d	pairs	aac71358.1	aac71609.1	1326	0.14200000000000002	0	0	0.01993785381317792
pairs_0465a8e	pairs	aac71301.1	aac71406.1	774	0.182	0	0	0.09725413466761902
pairs_0466a4e	pairs	aac71537.1	aac71621.1	407	0.124	0	0	0.07245895499875682
pairs_046e660	pairs	aac71644.1	aac72473.1	438	0.096	0	0	0.04118386391960438
pairs_0476721	pairs	aac71386.1	aac71537.1	508	0.068	0	0	0.006190803729815467
pairs_04a64f8	pairs	aac71279.1	aac71518.1	818	0.156	0	0	0.06786772444576764
pairs_04b4c89	pairs	aac71360.1	aac71569.1	892	0.644	0	0	0.5503716533591454
pairs_04c9507	pairs	aac71371.1	aac71443.1	415	0.254	0	0	0.2016021615008015
pairs_04c9be4	pairs	aac71443.1	aac71541.1	487	0.10200000000000001	0	0	0.042235123750136966
pairs_04e2834	pairs	aac71264.1	aac71579.1	583	0.126	0	0	0.05721454092203769
pairs_04e2df9	pairs	aac71311.1	aac71413.1	956	0.144	0	580	0.04579960229889682
pairs_04f639a	pairs	aac71474.1	aac71570.2	1554	0.442	307	327	0.30688226142914055
pairs_04fce42	pairs	aac71360.1	aac71537.1	916	0.374	0	0	0.27863849384035566
pairs_0512a6f	pairs	aac71352.1	abc59632.1	357	0.606	0	0	0.560016374161693
pairs_0513395	pairs	aac71380.1	aac71393.1	145	0.036000000000000004	999	999	0.019774330690262562
