name	group	pool_nchains	pool_size	chain_ids	fraction_disordered	has_clash	iptm	ptm	ranking_score	chain_iptm	chain_pair_iptm	chain_pair_pae_min	chain_ptm	model0_fraction_disordered	model0_has_clash	model0_iptm	model0_ptm	model0_ranking_score	model0_chain_iptm	model0_chain_pair_iptm	model0_chain_pair_pae_min	model0_chain_ptm	model1_fraction_disordered	model1_has_clash	model1_iptm	model1_ptm	model1_ranking_score	model1_chain_iptm	model1_chain_pair_iptm	model1_chain_pair_pae_min	model1_chain_ptm	model2_fraction_disordered	model2_has_clash	model2_iptm	model2_ptm	model2_ranking_score	model2_chain_iptm	model2_chain_pair_iptm	model2_chain_pair_pae_min	model2_chain_ptm	model3_fraction_disordered	model3_has_clash	model3_iptm	model3_ptm	model3_ranking_score	model3_chain_iptm	model3_chain_pair_iptm	model3_chain_pair_pae_min	model3_chain_ptm	model4_fraction_disordered	model4_has_clash	model4_iptm	model4_ptm	model4_ranking_score	model4_chain_iptm	model4_chain_pair_iptm	model4_chain_pair_pae_min	model4_chain_ptm
pairs_000366f	pairs	2	441	aac71319.1_aac71429.1	0.12	0.0	0.13	0.49	0.27	[0.13, 0.13]	[[0.81, 0.13], [0.13, 0.37]]	[[0.76, 20.78], [19.3, 0.76]]	[0.81, 0.37]	0.14	0.0	0.1	0.49	0.24	[0.1, 0.1]	[[0.82, 0.1], [0.1, 0.38]]	[[0.76, 23.37], [21.72, 0.76]]	[0.82, 0.38]	0.12	0.0	0.13	0.49	0.27	[0.13, 0.13]	[[0.81, 0.13], [0.13, 0.37]]	[[0.76, 20.78], [19.3, 0.76]]	[0.81, 0.37]	0.13	0.0	0.11	0.48	0.25	[0.11, 0.11]	[[0.82, 0.11], [0.11, 0.36]]	[[0.76, 24.66], [20.97, 0.76]]	[0.82, 0.36]	0.11	0.0	0.13	0.49	0.26	[0.13, 0.13]	[[0.83, 0.13], [0.13, 0.37]]	[[0.76, 21.57], [19.1, 0.76]]	[0.83, 0.37]	0.06	0.0	0.12	0.5	0.23	[0.12, 0.12]	[[0.82, 0.12], [0.12, 0.37]]	[[0.76, 21.04], [18.58, 0.76]]	[0.82, 0.37]
pairs_0046771	pairs	2	1054	aac71390.1_aac71413.1	0.02	0.0	0.18	0.61	0.27	[0.18, 0.18]	[[0.86, 0.18], [0.18, 0.73]]	[[0.76, 23.24], [24.92, 0.76]]	[0.86, 0.73]	0.02	0.0	0.12	0.61	0.22	[0.12, 0.12]	[[0.87, 0.12], [0.12, 0.74]]	[[0.76, 26.11], [30.19, 0.76]]	[0.87, 0.74]	0.02	0.0	0.17	0.61	0.27	[0.17, 0.17]	[[0.86, 0.17], [0.17, 0.73]]	[[0.76, 22.42], [24.92, 0.76]]	[0.86, 0.73]	0.02	0.0	0.13	0.61	0.24	[0.13, 0.13]	[[0.87, 0.13], [0.13, 0.73]]	[[0.76, 24.99], [28.95, 0.76]]	[0.87, 0.73]	0.02	0.0	0.13	0.6	0.23	[0.13, 0.13]	[[0.87, 0.13], [0.13, 0.73]]	[[0.76, 24.18], [28.66, 0.76]]	[0.87, 0.73]	0.02	0.0	0.18	0.61	0.27	[0.18, 0.18]	[[0.86, 0.18], [0.18, 0.73]]	[[0.76, 23.24], [24.92, 0.76]]	[0.86, 0.73]
pairs_0061302	pairs	2	722	aac71406.1_aac71579.1	0.0	0.0	0.31	0.63	0.37	[0.31, 0.31]	[[0.68, 0.31], [0.31, 0.8]]	[[0.76, 13.14], [15.17, 0.76]]	[0.68, 0.8]	0.0	0.0	0.3	0.64	0.37	[0.3, 0.3]	[[0.7, 0.3], [0.3, 0.8]]	[[0.76, 13.5], [15.57, 0.76]]	[0.7, 0.8]	0.0	0.0	0.3	0.64	0.37	[0.3, 0.3]	[[0.69, 0.3], [0.3, 0.8]]	[[0.76, 13.08], [15.42, 0.76]]	[0.69, 0.8]	0.0	0.0	0.21	0.62	0.29	[0.21, 0.21]	[[0.7, 0.21], [0.21, 0.8]]	[[0.76, 14.94], [16.15, 0.76]]	[0.7, 0.8]	0.0	0.0	0.31	0.63	0.37	[0.31, 0.31]	[[0.68, 0.31], [0.31, 0.8]]	[[0.76, 13.14], [15.17, 0.76]]	[0.68, 0.8]	0.0	0.0	0.3	0.64	0.37	[0.3, 0.3]	[[0.7, 0.3], [0.3, 0.8]]	[[0.76, 13.28], [15.66, 0.76]]	[0.7, 0.8]
pairs_0076b25	pairs	2	237	aac71377.1_aac71393.1	0.51	0.0	0.11	0.31	0.4	[0.11, 0.11]	[[0.34, 0.11], [0.11, 0.53]]	[[0.76, 21.0], [21.46, 0.76]]	[0.34, 0.53]	0.5	0.0	0.1	0.31	0.39	[0.1, 0.1]	[[0.34, 0.1], [0.1, 0.53]]	[[0.76, 21.69], [22.39, 0.76]]	[0.34, 0.53]	0.49	0.0	0.09	0.3	0.38	[0.09, 0.09]	[[0.33, 0.09], [0.09, 0.54]]	[[0.76, 22.47], [23.47, 0.76]]	[0.33, 0.54]	0.51	0.0	0.09	0.3	0.38	[0.09, 0.09]	[[0.33, 0.09], [0.09, 0.53]]	[[0.76, 22.81], [23.28, 0.76]]	[0.33, 0.53]	0.49	0.0	0.1	0.3	0.38	[0.1, 0.1]	[[0.33, 0.1], [0.1, 0.54]]	[[0.76, 22.21], [22.82, 0.76]]	[0.33, 0.54]	0.51	0.0	0.11	0.31	0.4	[0.11, 0.11]	[[0.34, 0.11], [0.11, 0.53]]	[[0.76, 21.0], [21.46, 0.76]]	[0.34, 0.53]
pairs_007a3ac	pairs	2	636	aac71301.1_aac71619.1	0.0	0.0	0.11	0.66	0.22	[0.11, 0.11]	[[0.88, 0.11], [0.11, 0.87]]	[[0.76, 25.69], [26.33, 0.76]]	[0.88, 0.87]	0.0	0.0	0.1	0.66	0.21	[0.1, 0.1]	[[0.88, 0.1], [0.1, 0.87]]	[[0.76, 26.81], [27.27, 0.76]]	[0.88, 0.87]	0.0	0.0	0.11	0.66	0.22	[0.11, 0.11]	[[0.88, 0.11], [0.11, 0.87]]	[[0.76, 27.19], [27.69, 0.76]]	[0.88, 0.87]	0.0	0.0	0.1	0.66	0.21	[0.1, 0.1]	[[0.88, 0.1], [0.1, 0.87]]	[[0.76, 26.74], [27.13, 0.76]]	[0.88, 0.87]	0.0	0.0	0.11	0.66	0.22	[0.11, 0.11]	[[0.88, 0.11], [0.11, 0.87]]	[[0.76, 25.69], [26.33, 0.76]]	[0.88, 0.87]	0.0	0.0	0.1	0.66	0.21	[0.1, 0.1]	[[0.88, 0.1], [0.1, 0.87]]	[[0.76, 27.21], [27.36, 0.76]]	[0.88, 0.87]
pairs_0092129	pairs	2	342	aac71371.1_aac71612.1	0.06	0.0	0.31	0.73	0.42	[0.31, 0.31]	[[0.57, 0.31], [0.31, 0.91]]	[[0.76, 13.48], [8.03, 0.76]]	[0.57, 0.91]	0.05	0.0	0.3	0.73	0.41	[0.3, 0.3]	[[0.58, 0.3], [0.3, 0.91]]	[[0.76, 13.62], [7.95, 0.76]]	[0.58, 0.91]	0.05	0.0	0.3	0.72	0.41	[0.3, 0.3]	[[0.58, 0.3], [0.3, 0.91]]	[[0.76, 13.84], [8.26, 0.76]]	[0.58, 0.91]	0.05	0.0	0.31	0.72	0.41	[0.31, 0.31]	[[0.58, 0.31], [0.31, 0.91]]	[[0.76, 13.53], [7.95, 0.76]]	[0.58, 0.91]	0.05	0.0	0.31	0.73	0.42	[0.31, 0.31]	[[0.58, 0.31], [0.31, 0.91]]	[[0.76, 13.64], [7.86, 0.76]]	[0.58, 0.91]	0.06	0.0	0.31	0.73	0.42	[0.31, 0.31]	[[0.57, 0.31], [0.31, 0.91]]	[[0.76, 13.48], [8.03, 0.76]]	[0.57, 0.91]
pairs_0092162	pairs	2	577	aac71352.1_aac71537.1	0.02	0.0	0.29	0.51	0.35	[0.29, 0.29]	[[0.78, 0.29], [0.29, 0.45]]	[[0.76, 9.94], [12.71, 0.76]]	[0.78, 0.45]	0.02	0.0	0.25	0.51	0.32	[0.25, 0.25]	[[0.77, 0.25], [0.25, 0.46]]	[[0.76, 11.95], [13.57, 0.76]]	[0.77, 0.46]	0.03	0.0	0.26	0.52	0.32	[0.26, 0.26]	[[0.78, 0.26], [0.26, 0.47]]	[[0.76, 11.88], [13.42, 0.76]]	[0.78, 0.47]	0.02	0.0	0.26	0.51	0.32	[0.26, 0.26]	[[0.77, 0.26], [0.26, 0.47]]	[[0.76, 11.75], [13.02, 0.76]]	[0.77, 0.47]	0.02	0.0	0.26	0.52	0.33	[0.26, 0.26]	[[0.77, 0.26], [0.26, 0.45]]	[[0.76, 11.18], [12.9, 0.76]]	[0.77, 0.45]	0.02	0.0	0.29	0.51	0.35	[0.29, 0.29]	[[0.78, 0.29], [0.29, 0.45]]	[[0.76, 9.94], [12.71, 0.76]]	[0.78, 0.45]
pairs_009874f	pairs	2	972	aac71299.1_aac71646.1	0.04	0.0	0.13	0.23	0.17	[0.13, 0.13]	[[0.57, 0.13], [0.13, 0.24]]	[[0.76, 28.13], [27.67, 0.76]]	[0.57, 0.24]	0.02	0.0	0.13	0.24	0.16	[0.13, 0.13]	[[0.55, 0.13], [0.13, 0.25]]	[[0.76, 28.31], [27.81, 0.76]]	[0.55, 0.25]	0.0	0.0	0.11	0.24	0.14	[0.11, 0.11]	[[0.58, 0.11], [0.11, 0.25]]	[[0.76, 29.56], [29.68, 0.76]]	[0.58, 0.25]	0.0	0.0	0.13	0.25	0.15	[0.13, 0.13]	[[0.56, 0.13], [0.13, 0.26]]	[[0.76, 28.08], [27.99, 0.76]]	[0.56, 0.26]	0.0	0.0	0.11	0.24	0.14	[0.11, 0.11]	[[0.57, 0.11], [0.11, 0.25]]	[[0.76, 29.56], [29.41, 0.76]]	[0.57, 0.25]	0.04	0.0	0.13	0.23	0.17	[0.13, 0.13]	[[0.57, 0.13], [0.13, 0.24]]	[[0.76, 28.13], [27.67, 0.76]]	[0.57, 0.24]
pairs_00a6115	pairs	2	1023	aac71570.2_aac72485.1	0.01	0.0	0.26	0.77	0.36	[0.26, 0.26]	[[0.83, 0.26], [0.26, 0.72]]	[[0.76, 20.06], [22.69, 0.76]]	[0.83, 0.72]	0.01	0.0	0.2	0.78	0.32	[0.2, 0.2]	[[0.85, 0.2], [0.2, 0.71]]	[[0.76, 21.51], [22.52, 0.76]]	[0.85, 0.71]	0.01	0.0	0.24	0.78	0.36	[0.24, 0.24]	[[0.85, 0.24], [0.24, 0.71]]	[[0.76, 20.21], [22.94, 0.76]]	[0.85, 0.71]	0.01	0.0	0.26	0.77	0.36	[0.26, 0.26]	[[0.83, 0.26], [0.26, 0.72]]	[[0.76, 20.06], [22.69, 0.76]]	[0.83, 0.72]	0.01	0.0	0.25	0.78	0.36	[0.25, 0.25]	[[0.84, 0.25], [0.25, 0.71]]	[[0.76, 20.63], [22.67, 0.76]]	[0.84, 0.71]	0.01	0.0	0.24	0.78	0.36	[0.24, 0.24]	[[0.85, 0.24], [0.24, 0.71]]	[[0.76, 20.67], [22.8, 0.76]]	[0.85, 0.71]
pairs_00b1df7	pairs	2	424	aac71487.1_aac71644.1	0.08	0.0	0.19	0.66	0.33	[0.19, 0.19]	[[0.89, 0.19], [0.19, 0.67]]	[[0.76, 19.49], [18.76, 0.76]]	[0.89, 0.67]	0.04	0.0	0.09	0.62	0.21	[0.09, 0.09]	[[0.89, 0.09], [0.09, 0.67]]	[[0.76, 23.22], [22.01, 0.76]]	[0.89, 0.67]	0.03	0.0	0.13	0.64	0.24	[0.13, 0.13]	[[0.89, 0.13], [0.13, 0.67]]	[[0.76, 20.26], [21.57, 0.76]]	[0.89, 0.67]	0.08	0.0	0.19	0.66	0.33	[0.19, 0.19]	[[0.89, 0.19], [0.19, 0.67]]	[[0.76, 19.49], [18.76, 0.76]]	[0.89, 0.67]	0.03	0.0	0.11	0.63	0.23	[0.11, 0.11]	[[0.89, 0.11], [0.11, 0.68]]	[[0.76, 21.56], [24.62, 0.76]]	[0.89, 0.68]	0.07	0.0	0.18	0.65	0.31	[0.18, 0.18]	[[0.89, 0.18], [0.18, 0.67]]	[[0.76, 19.69], [19.18, 0.76]]	[0.89, 0.67]
